"rank_population","country_en","iso3","leader_name_en","office_title","leader_verdict","salary_verdict","salary_usd_monthly_display","salary_confidence","fact_check_note","primary_sources","head_of_state_recheck_status","head_of_state_recheck_source"
"1","India","IND","Droupadi Murmu","Head of state / president where applicable","OK","OK_HIGHER_CONFIDENCE","$5,833","high","","https://www.mha.gov.in/sites/default/files/2022-08/PresidentsActupto2018_09082018%5B1%5D_0.pdf | https://www.cia.gov/resources/world-leaders/","MATCHED_WIKIDATA_P35_2026_06_09","Matched Wikidata truthy P35 head-of-state value during full 100-row recheck; CIA World Leaders used as general current-office cross-check."
"2","People's Republic of China","CHN","Xi Jinping","Head of state / president where applicable","OK","REVIEW_APPROXIMATE","$1,833","medium","FACTCHECK: salary retained as approximate; official/current source not fully verified","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries | https://www.cia.gov/resources/world-leaders/","MATCHED_WIKIDATA_P35_2026_06_09","Matched Wikidata truthy P35 head-of-state value during full 100-row recheck; CIA World Leaders used as general current-office cross-check."
"3","United States","USA","Donald Trump","Head of state / president where applicable","OK","OK_APPROXIMATE","$33,333","medium","","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries | https://www.cia.gov/resources/world-leaders/","MATCHED_WIKIDATA_P35_2026_06_09","Matched Wikidata truthy P35 head-of-state value during full 100-row recheck; CIA World Leaders used as general current-office cross-check."
"4","Indonesia","IDN","Prabowo Subianto","Head of state / president where applicable","OK","REVIEW_APPROXIMATE","$4,300","medium","FACTCHECK: salary retained as approximate; official/current source not fully verified","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries | https://www.cia.gov/resources/world-leaders/","MATCHED_WIKIDATA_P35_2026_06_09","Matched Wikidata truthy P35 head-of-state value during full 100-row recheck; CIA World Leaders used as general current-office cross-check."
"5","Pakistan","PAK","Asif Ali Zardari","Head of state / president where applicable","OK","OK_HIGHER_CONFIDENCE","$2,992","high","","https://www.pakistancode.gov.pk/pdffiles/administrator5aec1130757e2fbcae3401d26e103d9e.pdf | https://www.cia.gov/resources/world-leaders/","MATCHED_WIKIDATA_P35_2026_06_09","Matched Wikidata truthy P35 head-of-state value during full 100-row recheck; CIA World Leaders used as general current-office cross-check."
"6","Nigeria","NGA","Bola Ahmed Tinubu","Head of state / president where applicable","OK","OK_HIGHER_CONFIDENCE","$767","high","","https://rmafc.gov.ng/wp-content/uploads/2020/01/Remuneration-Package-for-Political-and-Judicial-Office-Holders-.pdf | https://www.cia.gov/resources/world-leaders/","MATCHED_WIKIDATA_P35_2026_06_09","Matched Wikidata truthy P35 head-of-state value during full 100-row recheck; CIA World Leaders used as general current-office cross-check."
"7","Brazil","BRA","Luiz Inácio Lula da Silva","Head of state / president where applicable","OK","REVIEW_APPROXIMATE","$8,544","medium","FACTCHECK: salary retained as approximate; official/current source not fully verified","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries | https://www.cia.gov/resources/world-leaders/","MATCHED_WIKIDATA_P35_2026_06_09","Matched Wikidata truthy P35 head-of-state value during full 100-row recheck; CIA World Leaders used as general current-office cross-check."
"8","Bangladesh","BGD","Mohammad Shahabuddin","Head of state / president where applicable","OK","OK_HIGHER_CONFIDENCE","$983","high","","https://laws.sayed.app/laws/act-487 | https://www.cia.gov/resources/world-leaders/","MATCHED_WIKIDATA_P35_2026_06_09","Matched Wikidata truthy P35 head-of-state value during full 100-row recheck; CIA World Leaders used as general current-office cross-check."
"9","Russia","RUS","Vladimir Putin","Head of state / president where applicable","OK","REVIEW_APPROXIMATE","$11,333","medium","FACTCHECK: salary retained as approximate; official/current source not fully verified","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries | https://www.cia.gov/resources/world-leaders/","MATCHED_WIKIDATA_P35_2026_06_09","Matched Wikidata truthy P35 head-of-state value during full 100-row recheck; CIA World Leaders used as general current-office cross-check."
"10","Mexico","MEX","Claudia Sheinbaum","Head of state / president where applicable","OK","OK_APPROXIMATE","$10,300","medium","","https://mexiconewsdaily.com/politics/how-much-do-mexicos-elected-officials-really-earn/ | https://www.cia.gov/resources/world-leaders/","CONFIRMED_LABEL_EXCEPTION","Wikidata P35 label returned as QID, but CIA World Leaders confirms Claudia Sheinbaum."
